instruction,input,output,category,type
什么是心流的条件?,,心流的条件是心流状态中的重要概念。进入心流需15-20分钟专注。实践建议:消除所有干扰源。,心流状态,问答
"关于消除所有干扰源,有什么建议?",,"消除所有干扰源是很重要的。根据研究,进入心流需15-20分钟专注。我建议从小处开始,循序渐进。",心流状态,问答
什么是倦怠的三维度?,,倦怠的三维度是工作倦怠中的重要概念。倦怠包括情感耗竭、去人格化、成就感降低。实践建议:每90分钟休息10-15分钟。,工作倦怠,问答
"关于每90分钟休息10-15分钟,有什么建议?",,"每90分钟休息10-15分钟是很重要的。根据研究,倦怠包括情感耗竭、去人格化、成就感降低。我建议从小处开始,循序渐进。",工作倦怠,问答
什么是恢复体验?,,恢复体验是工作倦怠中的重要概念。恢复体验对预防倦怠至关重要。实践建议:下班后完全心理脱离工作。,工作倦怠,问答
"关于下班后完全心理脱离工作,有什么建议?",,"下班后完全心理脱离工作是很重要的。根据研究,恢复体验对预防倦怠至关重要。我建议从小处开始,循序渐进。",工作倦怠,问答
什么是精力管理vs时间管理?,,精力管理vs时间管理是时间管理中的重要概念。管理精力比管理时间更重要。实践建议:根据精力高峰安排重要任务。,时间管理,问答
"关于根据精力高峰安排重要任务,有什么建议?",,"根据精力高峰安排重要任务是很重要的。根据研究,管理精力比管理时间更重要。我建议从小处开始,循序渐进。",时间管理,问答
什么是生理节律优化?,,生理节律优化是时间管理中的重要概念。人的精力呈90-120分钟周期波动。实践建议:批处理相似任务。,时间管理,问答
"关于批处理相似任务,有什么建议?",,"批处理相似任务是很重要的。根据研究,人的精力呈90-120分钟周期波动。我建议从小处开始,循序渐进。",时间管理,问答
什么是生物标志物监测?,,生物标志物监测是可穿戴设备中的重要概念。HRV是压力和恢复的可靠指标。实践建议:选择经过验证的设备。,可穿戴设备,问答
"关于选择经过验证的设备,有什么建议?",,"选择经过验证的设备是很重要的。根据研究,HRV是压力和恢复的可靠指标。我建议从小处开始,循序渐进。",可穿戴设备,问答
什么是数据驱动决策?,,数据驱动决策是可穿戴设备中的重要概念。睡眠追踪提升睡眠意识。实践建议:关注趋势而非绝对值。,可穿戴设备,问答
"关于关注趋势而非绝对值,有什么建议?",,"关注趋势而非绝对值是很重要的。根据研究,睡眠追踪提升睡眠意识。我建议从小处开始,循序渐进。",可穿戴设备,问答
